,race,race_id,race_0-1,race_recon,race_recon_id
0,Black,3,False,Indian,5
1,Black,3,False,White,0
2,Black,3,False,East Asian,3
3,Black,3,False,Latino_Hispanic,2
4,Black,3,False,East Asian,3
5,Black,3,False,White,0
6,Black,3,False,Southeast Asian,4
7,Black,3,False,Middle Eastern,6
8,Black,3,False,White,0
9,Black,3,False,White,0
10,Black,3,False,Indian,5
11,Black,3,True,Black,1
12,Black,3,False,White,0
13,Black,3,False,White,0
14,Black,3,False,White,0
15,Black,3,False,Indian,5
16,Black,3,False,White,0
17,Black,3,True,Black,1
18,Black,3,False,Southeast Asian,4
19,Black,3,False,Middle Eastern,6
20,Black,3,False,Middle Eastern,6
21,Black,3,False,Middle Eastern,6
22,Black,3,True,Black,1
23,Black,3,False,White,0
24,Black,3,False,Middle Eastern,6
25,Black,3,True,Black,1
26,Black,3,False,White,0
27,Black,3,False,White,0
28,Black,3,False,Middle Eastern,6
29,Black,3,False,Middle Eastern,6
30,Black,3,True,Black,1
31,Black,3,False,Latino_Hispanic,2
32,Black,3,False,Middle Eastern,6
33,Black,3,False,White,0
34,Black,3,False,Southeast Asian,4
35,Black,3,False,Middle Eastern,6
36,Black,3,False,Middle Eastern,6
37,Black,3,False,Middle Eastern,6
38,Black,3,False,White,0
39,Black,3,False,White,0
40,Black,3,False,Middle Eastern,6
41,Black,3,False,Middle Eastern,6
42,Black,3,False,Middle Eastern,6
43,Black,3,False,Middle Eastern,6
44,Black,3,True,Black,1
45,Black,3,False,East Asian,3
46,Black,3,False,Middle Eastern,6
47,Black,3,False,White,0
48,Black,3,False,Indian,5
49,Black,3,False,Middle Eastern,6
50,Black,3,False,White,0
51,Black,3,False,White,0
52,Black,3,False,Middle Eastern,6
53,Black,3,False,Middle Eastern,6
54,Black,3,False,Latino_Hispanic,2
55,Black,3,True,Black,1
56,Black,3,False,White,0
57,Black,3,False,Middle Eastern,6
58,Black,3,False,Latino_Hispanic,2
59,Black,3,False,Southeast Asian,4
60,Black,3,False,Middle Eastern,6
61,Black,3,False,Middle Eastern,6
62,Black,3,False,Southeast Asian,4
63,Black,3,False,Middle Eastern,6
64,Black,3,False,Middle Eastern,6
65,Black,3,False,White,0
66,Black,3,False,Indian,5
67,Black,3,False,East Asian,3
68,Black,3,False,Middle Eastern,6
69,Black,3,False,East Asian,3
70,Black,3,True,Black,1
71,Black,3,False,White,0
72,Black,3,False,Southeast Asian,4
73,Black,3,False,Latino_Hispanic,2
74,Black,3,False,Middle Eastern,6
75,Black,3,False,East Asian,3
76,Black,3,True,Black,1
77,Black,3,False,Middle Eastern,6
78,Black,3,False,Middle Eastern,6
79,Black,3,False,White,0
80,Black,3,True,Black,1
81,Black,3,False,Middle Eastern,6
82,Black,3,False,Southeast Asian,4
83,Black,3,False,Latino_Hispanic,2
84,Black,3,False,Indian,5
85,Black,3,False,White,0
86,Black,3,False,Middle Eastern,6
87,Black,3,False,Latino_Hispanic,2
88,Black,3,True,Black,1
89,Black,3,False,Middle Eastern,6
90,Black,3,False,East Asian,3
91,Black,3,False,Middle Eastern,6
92,Black,3,False,East Asian,3
93,Black,3,False,White,0
94,Black,3,False,White,0
95,Black,3,False,Middle Eastern,6
96,Black,3,False,Southeast Asian,4
97,Black,3,False,Middle Eastern,6
98,Black,3,False,Middle Eastern,6
99,Black,3,False,White,0
100,East Asian,3,False,Indian,5
101,East Asian,3,False,Southeast Asian,4
102,East Asian,3,False,Latino_Hispanic,2
103,East Asian,3,True,East Asian,3
104,East Asian,3,False,Middle Eastern,6
105,East Asian,3,False,Latino_Hispanic,2
106,East Asian,3,True,East Asian,3
107,East Asian,3,False,Indian,5
108,East Asian,3,False,Latino_Hispanic,2
109,East Asian,3,False,White,0
110,East Asian,3,True,East Asian,3
111,East Asian,3,False,White,0
112,East Asian,3,False,Southeast Asian,4
113,East Asian,3,True,East Asian,3
114,East Asian,3,False,Black,1
115,East Asian,3,False,White,0
