,race,race_id,race_0-1,race_recon,race_recon_id
0,Black_0,,False,White,0
1,Black_1,,False,Indian,5
2,Black_10,,False,Black,1
3,Black_11,,False,White,0
4,Black_12,,False,White,0
5,Black_13,,False,Indian,5
6,Black_14,,False,Indian,5
7,Black_15,,False,Indian,5
8,Black_16,,False,White,0
9,Black_17,,False,White,0
10,Black_18,,False,Black,1
11,Black_19,,False,White,0
12,Black_2,,False,White,0
13,Black_20,,False,Black,1
14,Black_21,,False,Latino_Hispanic,2
15,Black_22,,False,Indian,5
16,Black_23,,False,Middle Eastern,6
17,Black_24,,False,White,0
18,Black_25,,False,White,0
19,Black_26,,False,Latino_Hispanic,2
20,Black_27,,False,Middle Eastern,6
21,Black_28,,False,White,0
22,Black_29,,False,White,0
23,Black_3,,False,Indian,5
24,Black_30,,False,Indian,5
25,Black_31,,False,Latino_Hispanic,2
26,Black_32,,False,Middle Eastern,6
27,Black_33,,False,Middle Eastern,6
28,Black_34,,False,East Asian,3
29,Black_35,,False,Black,1
30,Black_36,,False,Indian,5
31,Black_37,,False,Southeast Asian,4
32,Black_38,,False,Latino_Hispanic,2
33,Black_39,,False,Indian,5
34,Black_4,,False,Latino_Hispanic,2
35,Black_40,,False,Middle Eastern,6
36,Black_41,,False,Indian,5
37,Black_42,,False,White,0
38,Black_43,,False,Indian,5
39,Black_44,,False,Middle Eastern,6
40,Black_45,,False,Indian,5
41,Black_46,,False,White,0
42,Black_47,,False,East Asian,3
43,Black_48,,False,Black,1
44,Black_49,,False,Indian,5
45,Black_5,,False,White,0
46,Black_50,,False,Indian,5
47,Black_51,,False,Indian,5
48,Black_52,,False,White,0
49,Black_53,,False,Latino_Hispanic,2
50,Black_54,,False,White,0
51,Black_55,,False,East Asian,3
52,Black_56,,False,Indian,5
53,Black_57,,False,Middle Eastern,6
54,Black_58,,False,East Asian,3
55,Black_59,,False,Latino_Hispanic,2
56,Black_6,,False,Black,1
57,Black_60,,False,Black,1
58,Black_61,,False,Latino_Hispanic,2
59,Black_62,,False,White,0
60,Black_63,,False,Indian,5
61,Black_64,,False,East Asian,3
62,Black_65,,False,Latino_Hispanic,2
63,Black_66,,False,Latino_Hispanic,2
64,Black_67,,False,Middle Eastern,6
65,Black_68,,False,Latino_Hispanic,2
66,Black_69,,False,Middle Eastern,6
67,Black_7,,False,Black,1
68,Black_70,,False,White,0
69,Black_71,,False,Middle Eastern,6
70,Black_72,,False,Black,1
71,Black_73,,False,Black,1
72,Black_74,,False,Southeast Asian,4
73,Black_75,,False,White,0
74,Black_76,,False,Southeast Asian,4
75,Black_77,,False,White,0
76,Black_78,,False,White,0
77,Black_79,,False,White,0
78,Black_8,,False,Latino_Hispanic,2
79,Black_80,,False,Indian,5
80,Black_81,,False,Latino_Hispanic,2
81,Black_82,,False,White,0
82,Black_83,,False,White,0
83,Black_84,,False,White,0
84,Black_85,,False,East Asian,3
85,Black_86,,False,Latino_Hispanic,2
86,Black_87,,False,White,0
87,Black_88,,False,White,0
88,Black_89,,False,Latino_Hispanic,2
89,Black_9,,False,East Asian,3
90,Black_90,,False,Middle Eastern,6
91,Black_91,,False,White,0
92,Black_92,,False,White,0
93,Black_93,,False,Indian,5
94,Black_94,,False,Southeast Asian,4
95,Black_95,,False,White,0
96,Black_96,,False,East Asian,3
97,Black_97,,False,Black,1
98,Black_98,,False,White,0
99,Black_99,,False,White,0
100,East Asian_0,,False,Indian,5
101,East Asian_1,,False,White,0
102,East Asian_10,,False,Southeast Asian,4
103,East Asian_11,,False,Latino_Hispanic,2
104,East Asian_12,,False,East Asian,3
105,East Asian_13,,False,East Asian,3
106,East Asian_14,,False,East Asian,3
107,East Asian_15,,False,East Asian,3
108,East Asian_16,,False,Black,1
109,East Asian_17,,False,Black,1
110,East Asian_18,,False,Latino_Hispanic,2
111,East Asian_19,,False,Latino_Hispanic,2
112,East Asian_2,,False,East Asian,3
113,East Asian_20,,False,Southeast Asian,4
114,East Asian_21,,False,East Asian,3
115,East Asian_22,,False,Middle Eastern,6
116,East Asian_23,,False,Latino_Hispanic,2
117,East Asian_24,,False,East Asian,3
118,East Asian_25,,False,East Asian,3
119,East Asian_26,,False,Middle Eastern,6
120,East Asian_27,,False,Southeast Asian,4
121,East Asian_28,,False,East Asian,3
122,East Asian_29,,False,East Asian,3
123,East Asian_3,,False,White,0
124,East Asian_30,,False,Indian,5
125,East Asian_31,,False,Indian,5
126,East Asian_32,,False,East Asian,3
127,East Asian_33,,False,Southeast Asian,4
128,East Asian_34,,False,Latino_Hispanic,2
129,East Asian_35,,False,East Asian,3
130,East Asian_36,,False,East Asian,3
131,East Asian_37,,False,Indian,5
132,East Asian_38,,False,East Asian,3
133,East Asian_39,,False,Latino_Hispanic,2
134,East Asian_4,,False,Latino_Hispanic,2
135,East Asian_40,,False,East Asian,3
136,East Asian_41,,False,Indian,5
137,East Asian_42,,False,Middle Eastern,6
138,East Asian_43,,False,East Asian,3
139,East Asian_44,,False,White,0
140,East Asian_45,,False,Southeast Asian,4
141,East Asian_46,,False,Indian,5
142,East Asian_47,,False,Black,1
143,East Asian_48,,False,Latino_Hispanic,2
144,East Asian_49,,False,Black,1
145,East Asian_5,,False,East Asian,3
146,East Asian_50,,False,Southeast Asian,4
147,East Asian_51,,False,Southeast Asian,4
148,East Asian_52,,False,Southeast Asian,4
149,East Asian_53,,False,Southeast Asian,4
150,East Asian_54,,False,East Asian,3
151,East Asian_55,,False,Indian,5
152,East Asian_56,,False,East Asian,3
153,East Asian_57,,False,White,0
154,East Asian_58,,False,White,0
155,East Asian_59,,False,East Asian,3
156,East Asian_6,,False,Latino_Hispanic,2
157,East Asian_60,,False,Latino_Hispanic,2
158,East Asian_61,,False,Southeast Asian,4
159,East Asian_62,,False,White,0
160,East Asian_63,,False,Southeast Asian,4
161,East Asian_64,,False,Southeast Asian,4
162,East Asian_65,,False,East Asian,3
163,East Asian_66,,False,East Asian,3
164,East Asian_67,,False,White,0
165,East Asian_68,,False,Latino_Hispanic,2
166,East Asian_69,,False,East Asian,3
167,East Asian_7,,False,East Asian,3
168,East Asian_70,,False,East Asian,3
169,East Asian_71,,False,Latino_Hispanic,2
170,East Asian_72,,False,East Asian,3
171,East Asian_73,,False,East Asian,3
172,East Asian_74,,False,East Asian,3
173,East Asian_75,,False,Southeast Asian,4
174,East Asian_76,,False,Latino_Hispanic,2
175,East Asian_77,,False,Indian,5
176,East Asian_78,,False,Southeast Asian,4
177,East Asian_79,,False,Indian,5
178,East Asian_8,,False,White,0
179,East Asian_80,,False,East Asian,3
180,East Asian_81,,False,Middle Eastern,6
181,East Asian_82,,False,White,0
182,East Asian_83,,False,East Asian,3
183,East Asian_84,,False,Latino_Hispanic,2
184,East Asian_85,,False,Indian,5
185,East Asian_86,,False,White,0
186,East Asian_87,,False,Black,1
187,East Asian_88,,False,Latino_Hispanic,2
188,East Asian_89,,False,East Asian,3
189,East Asian_9,,False,East Asian,3
190,East Asian_90,,False,East Asian,3
191,East Asian_91,,False,Southeast Asian,4
192,East Asian_92,,False,East Asian,3
193,East Asian_93,,False,Latino_Hispanic,2
194,East Asian_94,,False,Indian,5
195,East Asian_95,,False,East Asian,3
196,East Asian_96,,False,East Asian,3
197,East Asian_97,,False,White,0
198,East Asian_98,,False,East Asian,3
199,East Asian_99,,False,Black,1
200,Indian_0,,False,Southeast Asian,4
201,Indian_1,,False,Black,1
202,Indian_10,,False,East Asian,3
203,Indian_11,,False,Indian,5
204,Indian_12,,False,White,0
205,Indian_13,,False,Middle Eastern,6
206,Indian_14,,False,Southeast Asian,4
207,Indian_15,,False,Southeast Asian,4
208,Indian_16,,False,Middle Eastern,6
209,Indian_17,,False,Middle Eastern,6
210,Indian_18,,False,Indian,5
211,Indian_19,,False,White,0
212,Indian_2,,False,East Asian,3
213,Indian_20,,False,Indian,5
214,Indian_21,,False,Indian,5
215,Indian_22,,False,East Asian,3
216,Indian_23,,False,Latino_Hispanic,2
217,Indian_24,,False,Middle Eastern,6
218,Indian_25,,False,East Asian,3
219,Indian_26,,False,Latino_Hispanic,2
220,Indian_27,,False,East Asian,3
221,Indian_28,,False,Indian,5
222,Indian_29,,False,Middle Eastern,6
223,Indian_3,,False,East Asian,3
224,Indian_30,,False,East Asian,3
225,Indian_31,,False,East Asian,3
226,Indian_32,,False,East Asian,3
227,Indian_33,,False,Latino_Hispanic,2
228,Indian_34,,False,East Asian,3
229,Indian_35,,False,East Asian,3
230,Indian_36,,False,White,0
231,Indian_37,,False,Indian,5
232,Indian_38,,False,Middle Eastern,6
233,Indian_39,,False,Black,1
234,Indian_4,,False,White,0
235,Indian_40,,False,Indian,5
236,Indian_41,,False,Indian,5
237,Indian_42,,False,Black,1
238,Indian_43,,False,Middle Eastern,6
239,Indian_44,,False,Indian,5
240,Indian_45,,False,Middle Eastern,6
241,Indian_46,,False,Indian,5
242,Indian_47,,False,White,0
243,Indian_48,,False,Middle Eastern,6
244,Indian_49,,False,White,0
245,Indian_5,,False,Middle Eastern,6
246,Indian_50,,False,Southeast Asian,4
247,Indian_51,,False,East Asian,3
248,Indian_52,,False,Indian,5
249,Indian_53,,False,Southeast Asian,4
250,Indian_54,,False,East Asian,3
251,Indian_55,,False,Southeast Asian,4
252,Indian_56,,False,East Asian,3
253,Indian_57,,False,White,0
254,Indian_58,,False,Indian,5
255,Indian_59,,False,East Asian,3
256,Indian_6,,False,East Asian,3
257,Indian_60,,False,East Asian,3
258,Indian_61,,False,Latino_Hispanic,2
259,Indian_62,,False,Latino_Hispanic,2
260,Indian_63,,False,Latino_Hispanic,2
261,Indian_64,,False,Latino_Hispanic,2
262,Indian_65,,False,Latino_Hispanic,2
263,Indian_66,,False,Middle Eastern,6
264,Indian_67,,False,Latino_Hispanic,2
265,Indian_68,,False,Southeast Asian,4
266,Indian_69,,False,Middle Eastern,6
267,Indian_7,,False,Indian,5
268,Indian_70,,False,East Asian,3
269,Indian_71,,False,Middle Eastern,6
270,Indian_72,,False,White,0
271,Indian_73,,False,East Asian,3
272,Indian_74,,False,East Asian,3
273,Indian_75,,False,Black,1
274,Indian_76,,False,Middle Eastern,6
275,Indian_77,,False,Black,1
276,Indian_78,,False,Middle Eastern,6
277,Indian_79,,False,Latino_Hispanic,2
278,Indian_8,,False,East Asian,3
279,Indian_80,,False,Middle Eastern,6
280,Indian_81,,False,Indian,5
281,Indian_82,,False,East Asian,3
282,Indian_83,,False,White,0
283,Indian_84,,False,Latino_Hispanic,2
284,Indian_85,,False,Indian,5
285,Indian_86,,False,Middle Eastern,6
286,Indian_87,,False,Middle Eastern,6
287,Indian_88,,False,Indian,5
288,Indian_89,,False,Indian,5
289,Indian_9,,False,Indian,5
290,Indian_90,,False,Middle Eastern,6
291,Indian_91,,False,White,0
292,Indian_92,,False,Latino_Hispanic,2
293,Indian_93,,False,Latino_Hispanic,2
294,Indian_94,,False,Southeast Asian,4
295,Indian_95,,False,White,0
296,Indian_96,,False,Middle Eastern,6
297,Indian_97,,False,Latino_Hispanic,2
298,Indian_98,,False,White,0
299,Indian_99,,False,Indian,5
300,Latino_Hispanic_0,,False,White,0
301,Latino_Hispanic_1,,False,East Asian,3
302,Latino_Hispanic_10,,False,Black,1
303,Latino_Hispanic_11,,False,East Asian,3
304,Latino_Hispanic_12,,False,White,0
305,Latino_Hispanic_13,,False,Latino_Hispanic,2
306,Latino_Hispanic_14,,False,White,0
307,Latino_Hispanic_15,,False,White,0
308,Latino_Hispanic_16,,False,Indian,5
309,Latino_Hispanic_17,,False,White,0
310,Latino_Hispanic_18,,False,East Asian,3
311,Latino_Hispanic_19,,False,Southeast Asian,4
312,Latino_Hispanic_2,,False,White,0
313,Latino_Hispanic_20,,False,White,0
314,Latino_Hispanic_21,,False,White,0
315,Latino_Hispanic_22,,False,White,0
316,Latino_Hispanic_23,,False,Latino_Hispanic,2
317,Latino_Hispanic_24,,False,Latino_Hispanic,2
318,Latino_Hispanic_25,,False,Latino_Hispanic,2
319,Latino_Hispanic_26,,False,East Asian,3
320,Latino_Hispanic_27,,False,White,0
321,Latino_Hispanic_28,,False,Middle Eastern,6
