,race,race_id,race_0-1,race_recon,race_recon_id
0,Black_0,,False,Black,1
1,Black_1,,False,Black,1
2,Black_10,,False,Black,1
3,Black_11,,False,Indian,5
4,Black_12,,False,Black,1
5,Black_13,,False,Southeast Asian,4
6,Black_14,,False,Southeast Asian,4
7,Black_15,,False,Black,1
8,Black_16,,False,Black,1
9,Black_17,,False,Southeast Asian,4
10,Black_18,,False,Indian,5
11,Black_19,,False,Indian,5
12,Black_2,,False,Indian,5
13,Black_20,,False,Black,1
14,Black_21,,False,Black,1
15,Black_22,,False,Southeast Asian,4
16,Black_23,,False,Indian,5
17,Black_24,,False,Southeast Asian,4
18,Black_25,,False,Southeast Asian,4
19,Black_26,,False,Indian,5
20,Black_27,,False,Black,1
21,Black_28,,False,Black,1
22,Black_29,,False,Black,1
23,Black_3,,False,Black,1
24,Black_30,,False,Black,1
25,Black_31,,False,Indian,5
26,Black_32,,False,Black,1
27,Black_33,,False,Southeast Asian,4
28,Black_34,,False,Black,1
29,Black_35,,False,Black,1
30,Black_36,,False,Southeast Asian,4
31,Black_37,,False,Indian,5
32,Black_38,,False,Indian,5
33,Black_39,,False,Black,1
34,Black_4,,False,Black,1
35,Black_40,,False,Indian,5
36,Black_41,,False,Black,1
37,Black_42,,False,Indian,5
38,Black_43,,False,Indian,5
39,Black_44,,False,Black,1
40,Black_45,,False,Southeast Asian,4
41,Black_46,,False,Black,1
42,Black_47,,False,Southeast Asian,4
43,Black_48,,False,Indian,5
44,Black_49,,False,Indian,5
45,Black_5,,False,Southeast Asian,4
46,Black_50,,False,Southeast Asian,4
47,Black_51,,False,Indian,5
48,Black_52,,False,Black,1
49,Black_53,,False,Southeast Asian,4
50,Black_54,,False,Black,1
51,Black_55,,False,Black,1
52,Black_56,,False,Indian,5
53,Black_57,,False,Southeast Asian,4
54,Black_58,,False,Black,1
55,Black_59,,False,Black,1
56,Black_6,,False,Southeast Asian,4
57,Black_60,,False,Indian,5
58,Black_61,,False,Indian,5
59,Black_62,,False,Indian,5
60,Black_63,,False,Black,1
61,Black_64,,False,Black,1
62,Black_65,,False,Black,1
63,Black_66,,False,Black,1
64,Black_67,,False,Black,1
65,Black_68,,False,Black,1
66,Black_69,,False,Black,1
67,Black_7,,False,Black,1
68,Black_70,,False,Indian,5
69,Black_71,,False,Black,1
70,Black_72,,False,Black,1
71,Black_73,,False,Black,1
72,Black_74,,False,Indian,5
73,Black_75,,False,Black,1
74,Black_76,,False,Indian,5
75,Black_77,,False,Indian,5
76,Black_78,,False,Black,1
77,Black_79,,False,Black,1
78,Black_8,,False,Southeast Asian,4
79,Black_80,,False,Black,1
80,Black_81,,False,Black,1
81,Black_82,,False,Indian,5
82,Black_83,,False,Indian,5
83,Black_84,,False,Black,1
84,Black_85,,False,Indian,5
85,Black_86,,False,Black,1
86,Black_87,,False,Southeast Asian,4
87,Black_88,,False,Indian,5
88,Black_89,,False,Indian,5
89,Black_9,,False,Indian,5
90,Black_90,,False,Black,1
91,Black_91,,False,Latino_Hispanic,2
92,Black_92,,False,Black,1
93,Black_93,,False,Indian,5
94,Black_94,,False,Black,1
95,Black_95,,False,Black,1
96,Black_96,,False,Black,1
97,Black_97,,False,Indian,5
98,Black_98,,False,Southeast Asian,4
99,Black_99,,False,Black,1
100,East Asian_0,,False,Southeast Asian,4
101,East Asian_1,,False,East Asian,3
102,East Asian_10,,False,Latino_Hispanic,2
103,East Asian_11,,False,Latino_Hispanic,2
104,East Asian_12,,False,Southeast Asian,4
105,East Asian_13,,False,White,0
106,East Asian_14,,False,Southeast Asian,4
107,East Asian_15,,False,Southeast Asian,4
108,East Asian_16,,False,Latino_Hispanic,2
109,East Asian_17,,False,Latino_Hispanic,2
110,East Asian_18,,False,Southeast Asian,4
111,East Asian_19,,False,Southeast Asian,4
112,East Asian_2,,False,East Asian,3
113,East Asian_20,,False,Latino_Hispanic,2
114,East Asian_21,,False,Latino_Hispanic,2
115,East Asian_22,,False,Latino_Hispanic,2
116,East Asian_23,,False,Southeast Asian,4
117,East Asian_24,,False,Latino_Hispanic,2
118,East Asian_25,,False,East Asian,3
119,East Asian_26,,False,Indian,5
120,East Asian_27,,False,Southeast Asian,4
121,East Asian_28,,False,Southeast Asian,4
