,race,race_id,race_0-1,race_recon,race_recon_id
0,Black_0,,False,White,0
1,Black_1,,False,Southeast Asian,4
2,Black_10,,False,Middle Eastern,6
3,Black_11,,False,Middle Eastern,6
4,Black_12,,False,Indian,5
5,Black_13,,False,East Asian,3
6,Black_14,,False,White,0
7,Black_15,,False,Indian,5
8,Black_16,,False,Indian,5
9,Black_17,,False,White,0
10,Black_18,,False,Middle Eastern,6
11,Black_19,,False,White,0
12,Black_2,,False,White,0
13,Black_20,,False,Black,1
14,Black_21,,False,Middle Eastern,6
15,Black_22,,False,White,0
16,Black_23,,False,Middle Eastern,6
17,Black_24,,False,White,0
18,Black_25,,False,White,0
19,Black_26,,False,Latino_Hispanic,2
20,Black_27,,False,Middle Eastern,6
21,Black_28,,False,Middle Eastern,6
22,Black_29,,False,White,0
23,Black_3,,False,Southeast Asian,4
24,Black_30,,False,White,0
25,Black_31,,False,Middle Eastern,6
26,Black_32,,False,East Asian,3
27,Black_33,,False,White,0
28,Black_34,,False,Middle Eastern,6
29,Black_35,,False,Middle Eastern,6
30,Black_36,,False,Middle Eastern,6
31,Black_37,,False,White,0
32,Black_38,,False,East Asian,3
33,Black_39,,False,White,0
34,Black_4,,False,Indian,5
35,Black_40,,False,White,0
36,Black_41,,False,Indian,5
37,Black_42,,False,White,0
38,Black_43,,False,Black,1
39,Black_44,,False,Middle Eastern,6
40,Black_45,,False,East Asian,3
41,Black_46,,False,Middle Eastern,6
42,Black_47,,False,Black,1
43,Black_48,,False,White,0
44,Black_49,,False,Middle Eastern,6
45,Black_5,,False,White,0
46,Black_50,,False,Latino_Hispanic,2
47,Black_51,,False,Black,1
48,Black_52,,False,Middle Eastern,6
49,Black_53,,False,Latino_Hispanic,2
50,Black_54,,False,White,0
51,Black_55,,False,Middle Eastern,6
52,Black_56,,False,Middle Eastern,6
53,Black_57,,False,Middle Eastern,6
54,Black_58,,False,White,0
55,Black_59,,False,Southeast Asian,4
56,Black_6,,False,White,0
57,Black_60,,False,Latino_Hispanic,2
58,Black_61,,False,Latino_Hispanic,2
59,Black_62,,False,White,0
60,Black_63,,False,White,0
61,Black_64,,False,White,0
62,Black_65,,False,Middle Eastern,6
63,Black_66,,False,Middle Eastern,6
64,Black_67,,False,Middle Eastern,6
65,Black_68,,False,Southeast Asian,4
66,Black_69,,False,Latino_Hispanic,2
67,Black_7,,False,Black,1
68,Black_70,,False,Black,1
69,Black_71,,False,Middle Eastern,6
70,Black_72,,False,Latino_Hispanic,2
71,Black_73,,False,Indian,5
72,Black_74,,False,East Asian,3
73,Black_75,,False,Southeast Asian,4
74,Black_76,,False,Latino_Hispanic,2
75,Black_77,,False,Black,1
76,Black_78,,False,White,0
77,Black_79,,False,Black,1
78,Black_8,,False,Middle Eastern,6
79,Black_80,,False,Middle Eastern,6
80,Black_81,,False,Middle Eastern,6
81,Black_82,,False,White,0
82,Black_83,,False,White,0
83,Black_84,,False,White,0
84,Black_85,,False,Black,1
85,Black_86,,False,White,0
86,Black_87,,False,White,0
87,Black_88,,False,Latino_Hispanic,2
88,Black_89,,False,East Asian,3
89,Black_9,,False,White,0
90,Black_90,,False,East Asian,3
91,Black_91,,False,White,0
92,Black_92,,False,Middle Eastern,6
