,race,race_id,race_0-1,race_recon,race_recon_id
0,Black_0,,False,Southeast Asian,4
1,Black_1,,False,Southeast Asian,4
2,Black_10,,False,Southeast Asian,4
3,Black_11,,False,Southeast Asian,4
4,Black_12,,False,Black,1
5,Black_13,,False,Southeast Asian,4
6,Black_14,,False,Southeast Asian,4
7,Black_15,,False,Southeast Asian,4
8,Black_16,,False,Southeast Asian,4
9,Black_17,,False,East Asian,3
10,Black_18,,False,Latino_Hispanic,2
11,Black_19,,False,Southeast Asian,4
12,Black_2,,False,Southeast Asian,4
13,Black_20,,False,Southeast Asian,4
14,Black_21,,False,Southeast Asian,4
15,Black_22,,False,Southeast Asian,4
16,Black_23,,False,Latino_Hispanic,2
17,Black_24,,False,Southeast Asian,4
18,Black_25,,False,Southeast Asian,4
19,Black_26,,False,Latino_Hispanic,2
20,Black_27,,False,Black,1
21,Black_28,,False,Latino_Hispanic,2
22,Black_29,,False,Southeast Asian,4
23,Black_3,,False,Southeast Asian,4
24,Black_30,,False,Southeast Asian,4
25,Black_31,,False,Southeast Asian,4
26,Black_32,,False,Southeast Asian,4
27,Black_33,,False,Southeast Asian,4
28,Black_34,,False,Southeast Asian,4
29,Black_35,,False,Southeast Asian,4
30,Black_36,,False,Southeast Asian,4
31,Black_37,,False,Southeast Asian,4
32,Black_38,,False,Southeast Asian,4
33,Black_39,,False,Southeast Asian,4
34,Black_4,,False,Black,1
35,Black_40,,False,Southeast Asian,4
36,Black_41,,False,Black,1
37,Black_42,,False,White,0
38,Black_43,,False,Indian,5
39,Black_44,,False,Southeast Asian,4
40,Black_45,,False,Southeast Asian,4
41,Black_46,,False,Southeast Asian,4
42,Black_47,,False,Latino_Hispanic,2
43,Black_48,,False,White,0
44,Black_49,,False,Southeast Asian,4
45,Black_5,,False,Latino_Hispanic,2
46,Black_50,,False,Southeast Asian,4
47,Black_51,,False,Southeast Asian,4
48,Black_52,,False,White,0
49,Black_53,,False,Southeast Asian,4
50,Black_54,,False,White,0
51,Black_55,,False,Southeast Asian,4
52,Black_56,,False,Southeast Asian,4
53,Black_57,,False,Southeast Asian,4
54,Black_58,,False,Black,1
55,Black_59,,False,Black,1
56,Black_6,,False,Southeast Asian,4
57,Black_60,,False,Latino_Hispanic,2
58,Black_61,,False,Southeast Asian,4
59,Black_62,,False,Southeast Asian,4
60,Black_63,,False,Southeast Asian,4
61,Black_64,,False,Black,1
62,Black_65,,False,Latino_Hispanic,2
63,Black_66,,False,White,0
64,Black_67,,False,Southeast Asian,4
65,Black_68,,False,Latino_Hispanic,2
66,Black_69,,False,Black,1
67,Black_7,,False,Southeast Asian,4
68,Black_70,,False,Black,1
69,Black_71,,False,White,0
70,Black_72,,False,Southeast Asian,4
71,Black_73,,False,Black,1
72,Black_74,,False,Latino_Hispanic,2
73,Black_75,,False,Black,1
74,Black_76,,False,Latino_Hispanic,2
75,Black_77,,False,Southeast Asian,4
76,Black_78,,False,Southeast Asian,4
77,Black_79,,False,Black,1
78,Black_8,,False,Southeast Asian,4
79,Black_80,,False,Latino_Hispanic,2
80,Black_81,,False,Southeast Asian,4
81,Black_82,,False,Southeast Asian,4
82,Black_83,,False,Black,1
83,Black_84,,False,White,0
84,Black_85,,False,Southeast Asian,4
85,Black_86,,False,Southeast Asian,4
86,Black_87,,False,Southeast Asian,4
87,Black_88,,False,Latino_Hispanic,2
88,Black_89,,False,Southeast Asian,4
89,Black_9,,False,Southeast Asian,4
90,Black_90,,False,Indian,5
91,Black_91,,False,Latino_Hispanic,2
92,Black_92,,False,Latino_Hispanic,2
93,Black_93,,False,East Asian,3
94,Black_94,,False,Indian,5
95,Black_95,,False,Southeast Asian,4
96,Black_96,,False,Latino_Hispanic,2
97,Black_97,,False,Southeast Asian,4
98,Black_98,,False,Southeast Asian,4
99,Black_99,,False,Indian,5
100,East Asian_0,,False,Southeast Asian,4
101,East Asian_1,,False,Southeast Asian,4
102,East Asian_10,,False,Southeast Asian,4
103,East Asian_11,,False,Latino_Hispanic,2
104,East Asian_12,,False,Latino_Hispanic,2
105,East Asian_13,,False,Southeast Asian,4
106,East Asian_14,,False,Southeast Asian,4
107,East Asian_15,,False,Southeast Asian,4
108,East Asian_16,,False,Southeast Asian,4
109,East Asian_17,,False,Latino_Hispanic,2
110,East Asian_18,,False,Southeast Asian,4
111,East Asian_19,,False,Southeast Asian,4
112,East Asian_2,,False,Southeast Asian,4
113,East Asian_20,,False,Latino_Hispanic,2
114,East Asian_21,,False,Southeast Asian,4
115,East Asian_22,,False,Black,1
116,East Asian_23,,False,Southeast Asian,4
117,East Asian_24,,False,Latino_Hispanic,2
118,East Asian_25,,False,Southeast Asian,4
119,East Asian_26,,False,Southeast Asian,4
120,East Asian_27,,False,Latino_Hispanic,2
121,East Asian_28,,False,Latino_Hispanic,2
122,East Asian_29,,False,Latino_Hispanic,2
123,East Asian_3,,False,Latino_Hispanic,2
124,East Asian_30,,False,Indian,5
125,East Asian_31,,False,Latino_Hispanic,2
126,East Asian_32,,False,East Asian,3
127,East Asian_33,,False,Latino_Hispanic,2
128,East Asian_34,,False,Latino_Hispanic,2
129,East Asian_35,,False,Southeast Asian,4
130,East Asian_36,,False,Latino_Hispanic,2
131,East Asian_37,,False,Latino_Hispanic,2
132,East Asian_38,,False,Latino_Hispanic,2
133,East Asian_39,,False,Southeast Asian,4
134,East Asian_4,,False,Latino_Hispanic,2
135,East Asian_40,,False,Southeast Asian,4
136,East Asian_41,,False,Southeast Asian,4
137,East Asian_42,,False,Southeast Asian,4
138,East Asian_43,,False,Southeast Asian,4
139,East Asian_44,,False,Southeast Asian,4
140,East Asian_45,,False,Latino_Hispanic,2
141,East Asian_46,,False,East Asian,3
142,East Asian_47,,False,Southeast Asian,4
143,East Asian_48,,False,Southeast Asian,4
144,East Asian_49,,False,Southeast Asian,4
145,East Asian_5,,False,Latino_Hispanic,2
146,East Asian_50,,False,Southeast Asian,4
147,East Asian_51,,False,Southeast Asian,4
148,East Asian_52,,False,Indian,5
149,East Asian_53,,False,Southeast Asian,4
150,East Asian_54,,False,Latino_Hispanic,2
151,East Asian_55,,False,Southeast Asian,4
152,East Asian_56,,False,Southeast Asian,4
153,East Asian_57,,False,Latino_Hispanic,2
154,East Asian_58,,False,Southeast Asian,4
155,East Asian_59,,False,Latino_Hispanic,2
156,East Asian_6,,False,Latino_Hispanic,2
157,East Asian_60,,False,Southeast Asian,4
158,East Asian_61,,False,Latino_Hispanic,2
159,East Asian_62,,False,Southeast Asian,4
160,East Asian_63,,False,Latino_Hispanic,2
161,East Asian_64,,False,Southeast Asian,4
162,East Asian_65,,False,Southeast Asian,4
163,East Asian_66,,False,Southeast Asian,4
164,East Asian_67,,False,Latino_Hispanic,2
165,East Asian_68,,False,Latino_Hispanic,2
166,East Asian_69,,False,Latino_Hispanic,2
167,East Asian_7,,False,Latino_Hispanic,2
168,East Asian_70,,False,Southeast Asian,4
169,East Asian_71,,False,Southeast Asian,4
170,East Asian_72,,False,Southeast Asian,4
171,East Asian_73,,False,Southeast Asian,4
172,East Asian_74,,False,Southeast Asian,4
