,race,race_id,race_0-1,race_recon,race_recon_id
0,Black_0,,False,Latino_Hispanic,2
1,Black_1,,False,Latino_Hispanic,2
2,Black_10,,False,Black,1
3,Black_11,,False,Latino_Hispanic,2
4,Black_12,,False,Black,1
5,Black_13,,False,Latino_Hispanic,2
6,Black_14,,False,Latino_Hispanic,2
7,Black_15,,False,Latino_Hispanic,2
8,Black_16,,False,Latino_Hispanic,2
9,Black_17,,False,Latino_Hispanic,2
10,Black_18,,False,Black,1
11,Black_19,,False,White,0
12,Black_2,,False,Latino_Hispanic,2
13,Black_20,,False,White,0
14,Black_21,,False,Indian,5
15,Black_22,,False,Latino_Hispanic,2
16,Black_23,,False,White,0
17,Black_24,,False,Latino_Hispanic,2
18,Black_25,,False,Latino_Hispanic,2
19,Black_26,,False,Latino_Hispanic,2
20,Black_27,,False,Latino_Hispanic,2
21,Black_28,,False,Latino_Hispanic,2
22,Black_29,,False,Latino_Hispanic,2
23,Black_3,,False,Latino_Hispanic,2
24,Black_30,,False,Latino_Hispanic,2
25,Black_31,,False,Latino_Hispanic,2
26,Black_32,,False,Black,1
27,Black_33,,False,Latino_Hispanic,2
28,Black_34,,False,Latino_Hispanic,2
29,Black_35,,False,Black,1
30,Black_36,,False,White,0
31,Black_37,,False,Indian,5
32,Black_38,,False,Latino_Hispanic,2
33,Black_39,,False,Black,1
34,Black_4,,False,Southeast Asian,4
35,Black_40,,False,Latino_Hispanic,2
36,Black_41,,False,Black,1
37,Black_42,,False,Latino_Hispanic,2
38,Black_43,,False,Latino_Hispanic,2
39,Black_44,,False,Latino_Hispanic,2
40,Black_45,,False,White,0
41,Black_46,,False,Indian,5
42,Black_47,,False,Latino_Hispanic,2
43,Black_48,,False,Latino_Hispanic,2
44,Black_49,,False,Latino_Hispanic,2
45,Black_5,,False,Latino_Hispanic,2
46,Black_50,,False,Latino_Hispanic,2
47,Black_51,,False,Indian,5
48,Black_52,,False,Latino_Hispanic,2
49,Black_53,,False,Latino_Hispanic,2
50,Black_54,,False,Latino_Hispanic,2
51,Black_55,,False,Latino_Hispanic,2
52,Black_56,,False,Latino_Hispanic,2
53,Black_57,,False,Latino_Hispanic,2
54,Black_58,,False,Black,1
55,Black_59,,False,White,0
56,Black_6,,False,Latino_Hispanic,2
